phrase_id,raag,phrase,clip_id,video,t0,t1,cost,pitch_cost,orn_frac,gap_frac
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk0.mp3,8ldBWSCfR0Q,16.62,16.91,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk1.mp3,8ldBWSCfR0Q,13.9,14.12,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk2.mp3,8ldBWSCfR0Q,6.76,6.97,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk2.mp3,8ldBWSCfR0Q,16.6,16.85,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk2.mp3,8ldBWSCfR0Q,9.88,10.12,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk2.mp3,8ldBWSCfR0Q,9.76,9.97,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk3.mp3,8ldBWSCfR0Q,19.16,19.8,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk3.mp3,8ldBWSCfR0Q,19.16,19.88,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk4.mp3,8ldBWSCfR0Q,1.97,2.29,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk4.mp3,8ldBWSCfR0Q,1.44,1.67,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk0.mp3,FCw-Jo9_P8o,0.48,0.76,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk2.mp3,FCw-Jo9_P8o,6.63,6.86,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk2.mp3,IaWMS9vmWRM,12.21,12.43,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk2.mp3,IaWMS9vmWRM,17.72,17.96,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk2.mp3,IaWMS9vmWRM,12.21,12.92,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk3.mp3,IaWMS9vmWRM,11.38,11.59,3.0,3.0,0.0,0.0
