Cycle_ID,Raag_Name,Notes
65,chandrakauns,"S,g,m,d,N"
65,girija,"S,G,m,d,N"
65,bhinna shadja,"S,G,m,D,N"
65,hindol,"S,G,M,D,N"
65,amritavarshini,"S,G,M,P,N"
65,marukauns,"S,G,M,P,n"
65,madhukauns,"S,g,M,P,n"
65,devashree,"S,R,M,P,n"
65,megh,"S,R,m,P,n"
65,durga,"S,R,m,P,D"
65,shivaranjani,"S,R,g,P,D"
65,bhoop / deshkar,"S,R,G,P,D"
65,prateeksha,"S,R,G,P,d"
65,vibhas,"S,r,G,P,d"
65,gunakali,"S,r,m,P,d"
65,manoranjani,"S,r,m,P,D"
65,bairagi,"S,r,m,P,n"
65,dhani,"S,g,m,P,n"
66,malkauns,"S,g,m,d,n"
66,chandrakauns,"S,g,m,d,N"
66,girija,"S,G,m,d,N"
66,bhinna shadja,"S,G,m,D,N"
66,hindol,"S,G,M,D,N"
66,amritavarshini,"S,G,M,P,N"
66,marukauns,"S,G,M,P,n"
66,madhukauns,"S,g,M,P,n"
66,devashree,"S,R,M,P,n"
66,megh,"S,R,m,P,n"
66,durga,"S,R,m,P,D"
66,shivaranjani,"S,R,g,P,D"
66,bhoop / deshkar,"S,R,G,P,D"
66,hansadhwani,"S,R,G,P,N"
66,prateeksha,"S,R,G,P,d"
66,vibhas,"S,r,G,P,d"
66,gunakali,"S,r,m,P,d"
66,bairagi,"S,r,m,P,n"
66,dhani,"S,g,m,P,n"
67,malkauns,"S,g,m,d,n"
67,chandrakauns,"S,g,m,d,N"
67,girija,"S,G,m,d,N"
67,bhinna shadja,"S,G,m,D,N"
67,hindol,"S,G,M,D,N"
67,amritavarshini,"S,G,M,P,N"
67,marukauns,"S,G,M,P,n"
67,madhukauns,"S,g,M,P,n"
67,devashree,"S,R,M,P,n"
67,megh,"S,R,m,P,n"
67,durga,"S,R,m,P,D"
67,bhoop / deshkar,"S,R,G,P,D"
67,prateeksha,"S,R,G,P,d"
67,vibhas,"S,r,G,P,d"
67,bhoopal todi,"S,r,g,P,d"
67,gunakali,"S,r,m,P,d"
67,manoranjani,"S,r,m,P,D"
67,bairagi,"S,r,m,P,n"
67,dhani,"S,g,m,P,n"
68,malkauns,"S,g,m,d,n"
68,chandrakauns,"S,g,m,d,N"
68,girija,"S,G,m,d,N"
68,bhinna shadja,"S,G,m,D,N"
68,hindol,"S,G,M,D,N"
68,amritavarshini,"S,G,M,P,N"
68,marukauns,"S,G,M,P,n"
68,madhukauns,"S,g,M,P,n"
68,devashree,"S,R,M,P,n"
68,megh,"S,R,m,P,n"
68,durga,"S,R,m,P,D"
68,bhoop / deshkar,"S,R,G,P,D"
68,prateeksha,"S,R,G,P,d"
68,vibhas,"S,r,G,P,d"
68,gunakali,"S,r,m,P,d"
68,bhoopal todi,"S,r,g,P,d"
68,bairagi todi,"S,r,g,P,n"
68,bairagi,"S,r,m,P,n"
68,dhani,"S,g,m,P,n"
