phrase_id,raag,phrase,len,idf,n_own,n_legal_raags,auc_legal,auc_legal_video,auc_twin,auc_shuffle,hit_at_fpr,med_own,med_legal,med_illegal,passes
Kalawati#1,Kalawati,P D n D,4,1.686,15,11,0.711,0.731,nan,0.604,0.2,0.16,0.64,1.59,True
Kalawati#3,Kalawati,G P D S n,5,2.009,15,6,0.769,0.813,nan,0.81,0.333,1.15,3.0,3.0,True
Kalawati#7,Kalawati,P G S,3,2.991,15,24,0.67,0.851,nan,0.68,0.4,0.21,1.84,2.49,False
Kalawati#8,Kalawati,n D S,3,1.8,15,11,0.7,0.643,nan,0.541,0.267,0.07,0.42,1.39,False
KaushikDhwani#0,KaushikDhwani,G m D N D `S,6,2.139,30,9,0.566,0.546,nan,0.643,0.333,3.0,3.0,3.0,False
KaushikDhwani#1,KaushikDhwani,N `S D,3,1.966,30,19,0.478,0.383,nan,0.55,0.367,0.69,0.27,0.71,False
KaushikDhwani#3,KaushikDhwani,D m G S,4,2.43,30,10,0.454,0.536,nan,0.467,0.133,3.0,3.0,3.0,False
Kedar#2,Kedar,M P D P m,5,1.449,40,3,0.504,0.628,nan,0.578,0.15,1.39,1.44,2.26,False
Kedar#3,Kedar,S R S,3,1.387,40,26,0.54,0.622,nan,nan,0.2,0.22,0.28,0.66,False
Kedar#4,Kedar,M P D P M,5,1.632,40,6,0.499,0.501,nan,0.521,0.075,1.2,1.26,2.95,False
Kedar#6,Kedar,`S `R `S D P,5,1.846,40,21,0.519,0.559,nan,0.611,0.2,3.0,3.0,3.0,False
Keerwani#0,Keerwani,P d `S,3,2.246,20,11,0.382,0.294,nan,0.578,0.0,1.84,1.14,1.03,False
Keerwani#1,Keerwani,`S N `S `R `g `R `S N d P,10,1.804,20,1,0.46,0.4,nan,0.536,0.05,3.0,3.0,3.0,False
Keerwani#2,Keerwani,d P m P,4,1.355,20,5,0.669,0.593,nan,0.474,0.3,0.68,1.47,1.56,False
Keerwani#3,Keerwani,P m g R,4,1.584,20,8,0.541,0.399,nan,0.789,0.1,0.95,1.36,1.42,False
Keerwani#5,Keerwani,"g R S ,N ,d ,N R S",8,2.299,20,1,0.477,0.3,nan,0.537,0.95,3.0,3.0,3.0,False
Khamaj#0,Khamaj,G m P D,4,1.222,35,9,0.617,0.752,0.609,0.728,0.314,0.75,1.35,1.87,False
Khamaj#2,Khamaj,P `S N `S,4,2.086,35,25,0.401,0.34,0.347,0.694,0.029,1.4,0.94,1.13,False
Khamaj#4,Khamaj,m P m G,4,1.19,35,13,0.449,0.495,0.493,0.429,0.114,1.37,0.8,1.06,False
Lalit#0,Lalit,",N r G m M m G r S",9,2.959,45,0,nan,nan,nan,0.701,nan,3.0,nan,3.0,False
Lalit#1,Lalit,G M d N d M m,7,3.219,45,0,nan,nan,nan,0.616,nan,3.0,nan,3.0,False
Lalit#2,Lalit,`r N d M m,5,3.361,45,0,nan,nan,nan,0.734,nan,2.79,nan,2.74,False
Lalit#3,Lalit,G m M m,4,3.806,45,3,0.546,0.69,nan,0.518,0.178,0.63,0.56,1.09,False
Lalit#4,Lalit,M G r S,4,2.027,45,6,0.557,0.429,nan,0.608,0.044,1.45,1.88,1.71,False
Madhukauns#0,Madhukauns,S g M,3,2.75,45,3,0.597,0.626,nan,0.708,0.156,0.32,0.69,1.73,False
Madhukauns#1,Madhukauns,P M g M P,5,2.775,45,3,0.521,0.399,nan,0.567,0.089,0.75,1.04,3.0,False
Madhukauns#2,Madhukauns,M P n `S,4,2.049,45,0,nan,nan,nan,0.653,nan,0.66,nan,1.93,False
Madhukauns#3,Madhukauns,`S n P M,4,2.044,45,0,nan,nan,nan,0.741,nan,0.39,nan,2.22,False
Madhukauns#4,Madhukauns,g M g S,4,2.962,45,3,0.529,0.596,nan,0.511,0.133,2.57,3.0,2.96,False
Madhuvanti#0,Madhuvanti,",N S M g M P",6,3.212,50,2,0.56,0.55,nan,0.648,0.24,3.0,3.0,3.0,False
Madhuvanti#1,Madhuvanti,M g S R S,5,2.328,50,0,nan,nan,nan,0.644,nan,3.0,nan,3.0,False
Malhar#2,Malhar,g m R S,4,1.529,35,8,0.544,0.663,0.52,0.598,0.229,1.58,2.26,2.17,False
Malhar#3,Malhar,",n D ,N S",4,1.927,35,6,0.597,0.565,0.223,0.652,0.114,0.43,0.75,1.36,False
Malkauns#0,Malkauns,",d ,n S g m",5,2.053,50,3,0.572,0.673,nan,0.6,0.22,3.0,3.0,3.0,False
Malkauns#1,Malkauns,g m n d m,5,2.932,50,3,0.489,0.523,nan,0.531,0.1,3.0,3.0,3.0,False
Malkauns#3,Malkauns,`g `S n d,4,2.059,50,3,0.599,0.733,nan,0.664,0.24,1.08,2.91,2.89,False
MaruBihag#1,MaruBihag,M G R S,4,1.896,35,3,0.596,0.51,0.595,0.708,0.314,0.34,1.4,1.8,False
MaruBihag#3,MaruBihag,m G P,3,2.194,35,13,0.533,0.486,0.474,0.463,0.143,0.23,0.31,0.97,False
MaruBihag#4,MaruBihag,M G M G R S,6,2.202,35,3,0.511,0.51,0.488,0.715,0.314,3.0,2.55,3.0,False
Marwa#0,Marwa,",N ,D S ,N r",5,2.361,25,2,0.76,0.775,0.756,0.605,0.4,0.41,1.52,1.58,True
Marwa#1,Marwa,r G M D,4,2.557,25,2,0.73,0.863,0.746,0.655,0.52,1.31,3.0,2.84,True
Marwa#2,Marwa,D M G r,4,2.602,25,2,0.688,0.975,0.692,0.616,0.48,2.58,3.0,3.0,False
Marwa#3,Marwa,",N ,D r S",4,3.415,25,2,0.724,0.7,0.684,0.431,0.24,0.66,1.4,1.48,False
Multani#2,Multani,M g P,3,3.508,30,3,0.698,0.597,0.778,0.408,0.233,0.18,0.99,1.55,False
Multani#3,Multani,M g M g r S,6,2.844,30,1,0.658,0.972,0.658,0.677,0.933,3.0,3.0,3.0,False
Pilu#0,Pilu,G m P N `S,5,1.342,25,10,0.306,0.264,nan,0.604,0.0,3.0,2.1,3.0,False
Pilu#2,Pilu,m P N d P,5,2.071,25,2,0.59,0.66,nan,0.686,0.12,2.12,3.0,3.0,False
Pilu#4,Pilu,"P g R S ,N",5,1.701,25,5,0.433,0.336,nan,0.593,0.12,3.0,3.0,3.0,False
Pilu#5,Pilu,S g R S,4,2.242,25,10,0.512,0.778,nan,0.7,0.2,1.32,1.0,1.4,False
PuriyaDhanashri#0,PuriyaDhanashri,",N r G M P",5,2.584,35,3,0.588,0.619,0.578,0.794,0.086,1.85,2.7,3.0,False
PuriyaDhanashri#1,PuriyaDhanashri,P M G M r G,6,2.895,35,3,0.582,0.643,0.576,0.482,0.257,3.0,3.0,3.0,False
PuriyaDhanashri#2,PuriyaDhanashri,M d P,3,2.827,35,4,0.455,0.519,0.48,0.479,0.2,0.44,0.28,0.58,False
PuriyaDhanashri#3,PuriyaDhanashri,M d N `S,4,2.291,35,5,0.466,0.396,0.478,0.677,0.057,1.81,1.49,1.6,False
PuriyaDhanashri#6,PuriyaDhanashri,P d P M G M r G,8,2.712,35,2,0.612,0.668,0.612,0.585,0.229,3.0,3.0,3.0,False
PuriyaKalyan#0,PuriyaKalyan,",N r G M P M r G r S",10,2.719,35,3,0.46,0.395,nan,0.684,0.029,3.0,3.0,3.0,False
PuriyaKalyan#1,PuriyaKalyan,M D P,3,2.351,35,6,0.426,0.585,nan,0.467,0.086,2.57,0.53,1.07,False
PuriyaKalyan#2,PuriyaKalyan,M D N `S,4,1.985,35,9,0.458,0.537,nan,0.662,0.086,1.75,1.3,1.58,False
Sarang#2,Sarang,"m R ,N S",4,2.601,50,13,0.583,0.657,nan,0.562,0.24,0.86,1.46,1.73,False
