[m3] 5184 configs
  4000/5184  0.1s/config
  4010/5184  0.1s/config
  4020/5184  0.1s/config
  4030/5184  0.1s/config
  4040/5184  0.1s/config
  4050/5184  0.1s/config
  4060/5184  0.1s/config
  4070/5184  0.1s/config
  4080/5184  0.1s/config
  4090/5184  0.1s/config
  4100/5184  0.1s/config
  4110/5184  0.1s/config
  4120/5184  0.1s/config
  4130/5184  0.1s/config
  4140/5184  0.1s/config
  4150/5184  0.1s/config
  4160/5184  0.1s/config
  4170/5184  0.1s/config
  4180/5184  0.1s/config
  4190/5184  0.1s/config
  4200/5184  0.1s/config
  4210/5184  0.1s/config
  4220/5184  0.1s/config
  4230/5184  0.1s/config
  4240/5184  0.1s/config
  4250/5184  0.1s/config
  4260/5184  0.1s/config
  4270/5184  0.1s/config
  4280/5184  0.1s/config
  4290/5184  0.1s/config
  4300/5184  0.1s/config
  4310/5184  0.1s/config
  4320/5184  0.1s/config
  4330/5184  0.1s/config
  4340/5184  0.1s/config
  4350/5184  0.1s/config
  4360/5184  0.1s/config
  4370/5184  0.1s/config
  4380/5184  0.1s/config
  4390/5184  0.1s/config
  4400/5184  0.1s/config
  4410/5184  0.1s/config
  4420/5184  0.1s/config
  4430/5184  0.1s/config
  4440/5184  0.1s/config
  4450/5184  0.1s/config
  4460/5184  0.1s/config
  4470/5184  0.1s/config
  4480/5184  0.1s/config
  4490/5184  0.1s/config
  4500/5184  0.1s/config
  4510/5184  0.1s/config
  4520/5184  0.1s/config
  4530/5184  0.1s/config
  4540/5184  0.1s/config
  4550/5184  0.1s/config
  4560/5184  0.1s/config
  4570/5184  0.1s/config
  4580/5184  0.1s/config
  4590/5184  0.1s/config
  4600/5184  0.1s/config
  4610/5184  0.1s/config
  4620/5184  0.1s/config
  4630/5184  0.1s/config
  4640/5184  0.1s/config
  4650/5184  0.1s/config
  4660/5184  0.1s/config
  4670/5184  0.1s/config
  4680/5184  0.1s/config
  4690/5184  0.1s/config
  4700/5184  0.1s/config
  4710/5184  0.1s/config
  4720/5184  0.1s/config
  4730/5184  0.1s/config
  4740/5184  0.1s/config
  4750/5184  0.1s/config
  4760/5184  0.1s/config
  4770/5184  0.1s/config
  4780/5184  0.1s/config
  4790/5184  0.1s/config
  4800/5184  0.1s/config
  4810/5184  0.1s/config
  4820/5184  0.1s/config
  4830/5184  0.1s/config
  4840/5184  0.1s/config
  4850/5184  0.1s/config
  4860/5184  0.1s/config
  4870/5184  0.1s/config
  4880/5184  0.1s/config
  4890/5184  0.1s/config
  4900/5184  0.1s/config
  4910/5184  0.1s/config
  4920/5184  0.1s/config
  4930/5184  0.1s/config
  4940/5184  0.1s/config
  4950/5184  0.1s/config
  4960/5184  0.1s/config
  4970/5184  0.1s/config
  4980/5184  0.1s/config
  4990/5184  0.1s/config
  5000/5184  0.1s/config
  5010/5184  0.1s/config
  5020/5184  0.1s/config
  5030/5184  0.1s/config
  5040/5184  0.1s/config
  5050/5184  0.1s/config
  5060/5184  0.1s/config
  5070/5184  0.1s/config
  5080/5184  0.1s/config
  5090/5184  0.1s/config
  5100/5184  0.1s/config
  5110/5184  0.1s/config
  5120/5184  0.1s/config
  5130/5184  0.1s/config
  5140/5184  0.1s/config
  5150/5184  0.1s/config
  5160/5184  0.1s/config
  5170/5184  0.1s/config
  5180/5184  0.1s/config
[m3] best 12:
