id,raag,phrase,len,df,idf,turns,kept
Keerwani#3,Keerwani,P m g R,4,9,1.584,0,1
Keerwani#2,Keerwani,d P m P,4,4,1.355,1,1
Keerwani#4,Keerwani,g m,2,23,1.618,0,0
Khamaj#2,Khamaj,P `S N `S,4,1,2.086,2,1
Khamaj#0,Khamaj,G m P D,4,5,1.222,0,1
Khamaj#4,Khamaj,m P m G,4,3,1.19,1,1
Khamaj#1,Khamaj,G m G,3,12,1.518,1,0
Khamaj#3,Khamaj,n D P,3,24,1.196,0,0
Khamaj#5,Khamaj,R S,2,62,0.626,0,0
Lalit#3,Lalit,G m M m,4,1,3.806,1,1
Lalit#2,Lalit,`r N d M m,5,1,3.361,0,1
Lalit#1,Lalit,G M d N d M m,7,1,3.219,1,1
Lalit#0,Lalit,",N r G m M m G r S",9,1,2.959,1,1
Lalit#4,Lalit,M G r S,4,6,2.027,0,1
Madhukauns#4,Madhukauns,g M g S,4,2,2.962,1,1
Madhukauns#1,Madhukauns,P M g M P,5,1,2.775,1,1
Madhukauns#0,Madhukauns,S g M,3,4,2.75,0,1
Madhukauns#2,Madhukauns,M P n `S,4,3,2.049,0,1
Madhukauns#3,Madhukauns,`S n P M,4,2,2.044,0,1
Madhuvanti#0,Madhuvanti,",N S M g M P",6,1,3.212,2,1
Madhuvanti#1,Madhuvanti,M g S R S,5,1,2.328,2,1
Malhar#3,Malhar,",n D ,N S",4,2,1.927,2,1
Malhar#2,Malhar,g m R S,4,9,1.529,1,1
Malhar#1,Malhar,R P,2,11,2.356,0,0
Malhar#0,Malhar,S R,2,49,0.862,0,0
Malkauns#1,Malkauns,g m n d m,5,1,2.932,1,1
Malkauns#3,Malkauns,`g `S n d,4,1,2.059,0,1
Malkauns#0,Malkauns,",d ,n S g m",5,2,2.053,0,1
Malkauns#2,Malkauns,d n `S,3,11,1.839,0,0
MaruBihag#4,MaruBihag,M G M G R S,6,1,2.202,2,1
MaruBihag#3,MaruBihag,m G P,3,4,2.194,1,1
MaruBihag#1,MaruBihag,M G R S,4,4,1.896,0,1
MaruBihag#0,MaruBihag,M G,2,15,2.046,0,0
MaruBihag#2,MaruBihag,"S ,N S",3,17,1.188,1,0
Marwa#3,Marwa,",N ,D r S",4,1,3.415,2,1
Marwa#2,Marwa,D M G r,4,2,2.602,0,1
Marwa#1,Marwa,r G M D,4,2,2.557,0,1
Marwa#0,Marwa,",N ,D S ,N r",5,1,2.361,3,1
Multani#2,Multani,M g P,3,1,3.508,1,1
Multani#3,Multani,M g M g r S,6,1,2.844,2,1
Multani#1,Multani,M g,2,6,2.962,0,0
Multani#0,Multani,",N S",2,51,0.822,0,0
Pilu#5,Pilu,S g R S,4,1,2.242,1,1
Pilu#2,Pilu,m P N d P,5,1,2.071,1,1
Pilu#4,Pilu,"P g R S ,N",5,2,1.701,0,1
Pilu#0,Pilu,G m P N `S,5,6,1.342,0,1
Pilu#3,Pilu,m g R S,4,10,1.625,0,0
Pilu#1,Pilu,n D P,3,24,1.196,0,0
PuriyaDhanashri#1,PuriyaDhanashri,P M G M r G,6,1,2.895,3,1
PuriyaDhanashri#2,PuriyaDhanashri,M d P,3,2,2.827,1,1
PuriyaDhanashri#6,PuriyaDhanashri,P d P M G M r G,8,1,2.712,4,1
PuriyaDhanashri#0,PuriyaDhanashri,",N r G M P",5,2,2.584,0,1
PuriyaDhanashri#3,PuriyaDhanashri,M d N `S,4,4,2.291,0,1
PuriyaDhanashri#4,PuriyaDhanashri,N `r,2,6,2.962,0,0
PuriyaDhanashri#5,PuriyaDhanashri,N d P,3,14,1.831,0,0
PuriyaDhanashri#7,PuriyaDhanashri,r S,2,31,1.32,0,0
PuriyaKalyan#0,PuriyaKalyan,",N r G M P M r G r S",10,1,2.719,3,1
PuriyaKalyan#1,PuriyaKalyan,M D P,3,3,2.351,1,1
PuriyaKalyan#2,PuriyaKalyan,M D N `S,4,5,1.985,0,1
Sarang#2,Sarang,"m R ,N S",4,2,2.601,1,1
Sarang#3,Sarang,"m P n P m R ,N S",8,1,2.087,2,1
Sarang#1,Sarang,P R,2,7,2.808,0,0
Sarang#0,Sarang,R m,2,21,1.709,0,0
Shankara#0,Shankara,G P N D `S N,6,1,2.361,3,1
Shankara#1,Shankara,D P G P,4,2,2.233,1,1
Shankara#2,Shankara,R G R S,4,2,1.819,1,1
Shivranjani#0,Shivranjani,R g P,3,1,3.277,0,1
Shivranjani#2,Shivranjani,g S R D S,5,1,2.567,2,1
Shivranjani#1,Shivranjani,D P g R,4,3,2.128,0,1
Shree#5,Shree,M d M G r,5,1,2.983,1,1
Shree#2,Shree,M P d M G r G r S,9,1,2.663,3,1
Shree#0,Shree,"S ,N r",3,3,2.48,1,1
Shree#4,Shree,`r N d P,4,2,2.334,0,1
Shree#3,Shree,M P N `S `r,5,1,1.903,0,1
Shree#1,Shree,r P,2,2,4.06,0,0
Shree#6,Shree,G r S,3,16,1.761,0,0
Sohani#2,Sohani,`S `r `S `r N `S N D G M G,11,1,2.624,7,1
Sohani#1,Sohani,N D N D,4,1,2.474,2,1
Sohani#0,Sohani,M D N `S `r `S,6,1,2.118,1,1
TilakKamod#5,TilakKamod,`S P D m G,5,1,2.321,2,1
TilakKamod#2,TilakKamod,"S R G S ,N",5,1,2.147,1,1
TilakKamod#7,TilakKamod,"S R G S ,N",5,1,2.147,1,1
TilakKamod#4,TilakKamod,`S `R `G `S,4,2,2.029,1,1
TilakKamod#0,TilakKamod,",P ,N S R G S",6,1,1.933,1,1
TilakKamod#6,TilakKamod,S R m G,4,3,1.794,1,1
TilakKamod#1,TilakKamod,R P m G,4,1,1.714,1,1
TilakKamod#3,TilakKamod,S R m P `S,5,1,1.683,0,1
Tilang#1,Tilang,n P G m G,5,1,2.148,2,1
Tilang#0,Tilang,G m P n P m G,7,1,1.538,1,1
Todi#1,Todi,M r g,3,1,3.655,1,1
Todi#0,Todi,",N S r g",4,1,2.146,0,1
Todi#2,Todi,r S,2,31,1.32,0,0
Vibhas#1,Vibhas,G P G r S,5,2,2.256,1,1
Vibhas#0,Vibhas,P d P,3,4,2.134,1,1
Yaman#1,Yaman,",N R M G",4,1,3.495,1,1
Yaman#4,Yaman,",N R ,D ,N S",5,1,2.86,2,1
Yaman#0,Yaman,",N R G",3,4,2.664,0,1
Yaman#3,Yaman,M D P N D P M R G R,10,1,2.507,5,1
Yaman#2,Yaman,M P,2,24,1.576,0,0
